"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"1","WA239","H5N1","D1.1","d1","SPOT","30min","6754",0,3.15398801955663,0,0,2.86736083886118,0,0,"non-transmissible","Non-transmissible"
"2","WA239","H5N1","D1.1","d1","SPOT","30min","6756",0.529827543193592,3.42084571692909,2.8910181737355,0.161850819941071,3.17373237257089,3.01188155262982,0,"non-transmissible","Non-transmissible"
"3","WA239","H5N1","D1.1","d1","SPOT","30min","6758",0.830857538857573,2.8129453339328,1.98208779507523,0.940002070324715,4.16131957030944,3.22131749998472,0,"non-transmissible","Non-transmissible"
"4","WA239","H5N1","D1.1","d1","NIOSH","30min","6754",0,2.82546377121983,0,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"5","WA239","H5N1","D1.1","d1","NIOSH","30min","6756",0.592514673421732,2.85476409684025,2.26224942341852,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"6","WA239","H5N1","D1.1","d1","NIOSH","30min","6758",0,3.489310144228,0,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"7","WA239","H5N1","D1.1","d1","NIOSH","30min","6754",0,2.93067775214338,0,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"8","WA239","H5N1","D1.1","d1","NIOSH","30min","6756",0.416423414366051,2.58814895707573,2.17172554270968,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"9","WA239","H5N1","D1.1","d1","NIOSH","30min","6758",0.814363423038088,3.50112647479079,2.68676305175271,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"10","WA239","H5N1","D1.1","d1","NW","","6754",4.27875360095283,7.08439284409029,2.80563924313746,5.56169753265399,8.7961324939766,3.23443496132261,0,"non-transmissible","Non-transmissible"
"11","WA239","H5N1","D1.1","d1","NW","","6756",4.3324384599156,7.37997757908462,3.04753911916901,4.93826948346291,8.60681779070029,3.66854830723738,0,"non-transmissible","Non-transmissible"
"12","WA239","H5N1","D1.1","d1","NW","","6758",4,7.13660201793525,3.13660201793525,5.49415459401844,8.62999749781073,3.13584290379229,0,"non-transmissible","Non-transmissible"
"13","WA239","H5N1","D1.1","d2","SPOT","30min","6754",0,3.00279653804063,0,0,2.86736083886118,0,0,"non-transmissible","Non-transmissible"
"14","WA239","H5N1","D1.1","d2","SPOT","30min","6756",0,3.26540445959109,0,0.161850819941071,3.17373237257089,3.01188155262982,0,"non-transmissible","Non-transmissible"
"15","WA239","H5N1","D1.1","d2","SPOT","30min","6758",0.830857538857573,4.42112712151915,3.59026958266157,0.940002070324715,4.16131957030944,3.22131749998472,0,"non-transmissible","Non-transmissible"
"16","WA239","H5N1","D1.1","d2","NIOSH","30min","6754",0.11539341870207,3.91638446786058,3.80099104915851,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"17","WA239","H5N1","D1.1","d2","NIOSH","30min","6756",0,3.43922270915321,0,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"18","WA239","H5N1","D1.1","d2","NIOSH","30min","6758",0.11539341870207,3.04739184273102,2.93199842402895,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"19","WA239","H5N1","D1.1","d2","NIOSH","30min","6754",0,2.9825724160148,0,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"20","WA239","H5N1","D1.1","d2","NIOSH","30min","6756",0,3.81123013588418,0,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"21","WA239","H5N1","D1.1","d2","NIOSH","30min","6758",0.11539341870207,2.86122780503129,2.74583438632922,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"22","WA239","H5N1","D1.1","d2","NW","","6754",5.24303804868629,8.34162864609922,3.09859059741292,5.56169753265399,8.7961324939766,3.23443496132261,0,"non-transmissible","Non-transmissible"
